2026-04-30 00:58:04,079 [INFO] ======================================================================
2026-04-30 00:58:04,079 [INFO] S3 LOB ensemble — conds=['C2', 'C3'], n_trials=100, seed_base=1000, n_workers=8, main_steps=1500, warmup=200
2026-04-30 00:58:04,079 [INFO] ======================================================================
2026-04-30 00:58:04,079 [INFO] [parallel] cond=C2 n_seeds=100 n_workers=8 out=/Users/hasegawayuito/Documents/GitHub/speculation-game-info/experiments/YH006_1/data/C2
2026-04-30 02:52:12,254 [INFO] [parallel] C3 seed=1061 done (56/100): runtime=155.7s n_rt=2,721 n_sub=41
2026-04-30 02:52:18,601 [INFO] [parallel] C3 seed=1054 done (57/100): runtime=500.8s n_rt=4,275 n_sub=59
2026-04-30 02:52:22,459 [INFO] [parallel] C3 seed=1049 done (58/100): runtime=644.8s n_rt=5,074 n_sub=66
2026-04-30 02:52:29,935 [INFO] [parallel] C3 seed=1058 done (59/100): runtime=320.6s n_rt=5,740 n_sub=63
2026-04-30 02:53:47,352 [INFO] [parallel] C3 seed=1057 done (60/100): runtime=419.0s n_rt=2,714 n_sub=24
2026-04-30 02:54:13,455 [INFO] [parallel] C3 seed=1062 done (61/100): runtime=162.6s n_rt=3,985 n_sub=58
2026-04-30 02:55:05,514 [INFO] [parallel] C3 seed=1060 done (62/100): runtime=352.5s n_rt=4,911 n_sub=63
2026-04-30 02:55:46,921 [INFO] [parallel] C3 seed=1066 done (63/100): runtime=196.5s n_rt=5,196 n_sub=47
2026-04-30 02:55:49,065 [INFO] [parallel] C3 seed=1063 done (64/100): runtime=216.3s n_rt=5,464 n_sub=56
2026-04-30 02:56:31,633 [INFO] [parallel] C3 seed=1064 done (65/100): runtime=252.5s n_rt=5,785 n_sub=73
2026-04-30 02:57:32,029 [INFO] [parallel] C3 seed=1068 done (66/100): runtime=198.2s n_rt=3,886 n_sub=46
2026-04-30 02:57:48,723 [INFO] [parallel] C3 seed=1069 done (67/100): runtime=162.9s n_rt=3,534 n_sub=44
2026-04-30 02:58:00,481 [INFO] [parallel] C3 seed=1067 done (68/100): runtime=252.6s n_rt=4,932 n_sub=47
2026-04-30 02:58:17,119 [INFO] [parallel] C3 seed=1059 done (69/100): runtime=558.9s n_rt=3,963 n_sub=53
2026-04-30 02:58:32,128 [INFO] [parallel] C3 seed=1065 done (70/100): runtime=369.2s n_rt=5,646 n_sub=60
2026-04-30 02:58:44,828 [INFO] [parallel] C3 seed=1071 done (71/100): runtime=175.3s n_rt=5,184 n_sub=63
2026-04-30 02:59:40,970 [INFO] [parallel] C3 seed=1070 done (72/100): runtime=233.7s n_rt=4,222 n_sub=43
2026-04-30 02:59:58,389 [INFO] [parallel] C3 seed=1072 done (73/100): runtime=206.3s n_rt=4,788 n_sub=68
2026-04-30 03:00:34,787 [INFO] [parallel] C3 seed=1073 done (74/100): runtime=182.3s n_rt=4,916 n_sub=62
2026-04-30 03:03:07,372 [INFO] [parallel] C3 seed=1077 done (75/100): runtime=274.7s n_rt=5,886 n_sub=60
2026-04-30 03:03:52,513 [INFO] [parallel] C3 seed=1080 done (76/100): runtime=233.7s n_rt=4,268 n_sub=47
2026-04-30 03:03:59,233 [INFO] [parallel] C3 seed=1076 done (77/100): runtime=341.7s n_rt=4,624 n_sub=59
2026-04-30 03:04:27,141 [INFO] [parallel] C3 seed=1078 done (78/100): runtime=341.7s n_rt=4,056 n_sub=50
2026-04-30 03:06:53,964 [INFO] [parallel] C3 seed=1081 done (79/100): runtime=378.7s n_rt=5,808 n_sub=70
2026-04-30 03:07:04,753 [INFO] [parallel] C3 seed=1075 done (80/100): runtime=543.9s n_rt=3,560 n_sub=51
2026-04-30 03:07:24,771 [INFO] [parallel] C3 seed=1085 done (81/100): runtime=177.1s n_rt=5,511 n_sub=53
2026-04-30 03:07:28,367 [INFO] [parallel] C3 seed=1074 done (82/100): runtime=579.0s n_rt=7,393 n_sub=74
2026-04-30 03:07:56,616 [INFO] [parallel] C3 seed=1084 done (83/100): runtime=237.0s n_rt=4,470 n_sub=46
2026-04-30 03:07:58,928 [INFO] [parallel] C3 seed=1083 done (84/100): runtime=245.9s n_rt=4,993 n_sub=53
2026-04-30 03:08:00,113 [INFO] [parallel] C3 seed=1079 done (85/100): runtime=498.6s n_rt=5,613 n_sub=79
2026-04-30 03:10:06,675 [INFO] [parallel] C3 seed=1087 done (86/100): runtime=181.5s n_rt=4,933 n_sub=55
2026-04-30 03:10:26,494 [INFO] [parallel] C3 seed=1089 done (87/100): runtime=177.4s n_rt=7,781 n_sub=76
2026-04-30 03:11:25,802 [INFO] [parallel] C3 seed=1091 done (88/100): runtime=206.4s n_rt=5,463 n_sub=37
2026-04-30 03:12:30,695 [INFO] [parallel] C3 seed=1088 done (89/100): runtime=305.5s n_rt=4,141 n_sub=59
2026-04-30 03:12:43,530 [INFO] [parallel] C3 seed=1086 done (90/100): runtime=348.9s n_rt=6,396 n_sub=71
2026-04-30 03:13:12,410 [INFO] [parallel] C3 seed=1082 done (91/100): runtime=604.6s n_rt=5,395 n_sub=64
2026-04-30 03:13:22,563 [INFO] [parallel] C3 seed=1092 done (92/100): runtime=322.0s n_rt=5,334 n_sub=72
2026-04-30 03:14:21,209 [INFO] [parallel] C3 seed=1095 done (93/100): runtime=175.1s n_rt=2,977 n_sub=36
2026-04-30 03:16:06,093 [INFO] [parallel] C3 seed=1096 done (94/100): runtime=215.0s n_rt=3,958 n_sub=42
2026-04-30 03:16:22,975 [INFO] [parallel] C3 seed=1090 done (95/100): runtime=505.9s n_rt=5,022 n_sub=48
2026-04-30 03:16:32,113 [INFO] [parallel] C3 seed=1093 done (96/100): runtime=385.0s n_rt=5,823 n_sub=64
2026-04-30 03:17:02,926 [INFO] [parallel] C3 seed=1097 done (97/100): runtime=259.1s n_rt=4,890 n_sub=47
